contract_number;card_type;plastic_status;virtual_status;credit_limit;workflow_type;created_at;acquisition_channel;company_type;business_dni_type;business_website;business_foundation_year;city;department;bureau_score;banked_type1;banked_type2;hard_credit_check;number_saving_accounts;number_saving_accounts_alert;bureau_debt;bureau_debt_default;number_current_loans;number_current_loans_default;sherlock_anomaly;sherlock_distrust;sherlock_operator;sherlock_reactivate;sherlock_banked;sherlock_collection;emailage_eascore;lc_judicial_proceedings_against;number_shareholders;os;economic_activity_group;number_employees;mora_ultimos_6meses
100;BUSINESS;CANCELED;CANCELED;20000000;FAMILY_AND_FRIENDS;25/10/2021 14:42;CREDIT_PROFESSIONAL_CONTACT;SAS;NIT;tiene;2019;Medellín;Antioquia;595;0;0;2;2;0;0;0;0;0;0.43;0.54;claro;FALSE;0;0;430;0;2;Windows;COMERCIO;62;181
96;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;20/10/2021 12:48;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Bogotá;Bogotá;630;1;1;2;2;0;0;0;0;0;0.54;0.61;claro;FALSE;0;0;698;0;1;Windows;SERVICIOS;10;0
94;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;21/10/2021 17:27;INTERNET;SAS;NIT;no tiene;2019;Medellín;Antioquia;612;1;1;2;3;0;0;0;0;0;0.6;0.5;claro;FALSE;0;0;748;0;1;Windows;COMERCIO;80;0
93;BUSINESS;ACTIVE;ACTIVE;7000000;FAMILY_AND_FRIENDS;21/10/2021 16:27;REFERRER;SAS;NIT;no tiene;2015;Bogotá;Bogotá;827;0;0;1;3;0;0;0;0;0;0.33;0.43;claro;FALSE;0;0;546;0;1;Windows;SERVICIOS;25;38
112;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 14:08;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Medellín;Antioquia;535;1;1;2;2;0;0;0;0;0;0.64;0.69;claro;FALSE;0;0;503;0;2;Windows;SERVICIOS;45;3
108;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;27/10/2021 12:59;SOCIAL_NETWORKS;SAS;NIT;tiene;2019;Bogotá;Bogotá;692;1;1;1;1;0;0;0;0;0;0.65;0.71;claro;FALSE;0;0;620;0;1;Windows;COMERCIO;42;1
111;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 14:13;EVENTS;SAS;NIT;tiene;2016;Bogotá;Bogotá;822;0;0;3;2;0;0;0;0;0;0.5;0.66;claro;FALSE;0;0;663;0;1;Windows;SERVICIOS;26;61
110;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;27/10/2021 14:04;SOCIAL_NETWORKS;SAS;NIT;tiene;2015;Medellín;Antioquia;761;1;1;3;3;0;0;0;0;0;0.5;0.57;claro;FALSE;0;0;694;0;2;Windows;MANUFACTURA;72;1
98;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;21/10/2021 6:51;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;721;1;1;1;2;0;0;0;0;0;0.25;0.61;claro;FALSE;0;0;744;0;1;Windows;SERVICIOS;63;0
128;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;28/10/2021 14:48;COMMERCIAL_ALLY;SAS;NIT;tiene;2012;Bogotá;Bogotá;544;1;1;1;2;0;0;0;0;0;0.53;0.33;claro;FALSE;0;0;690;0;2;Windows;MANUFACTURA;60;3
124;BUSINESS;CANCELED;CANCELED;2000000;FAMILY_AND_FRIENDS;28/10/2021 11:46;NEWSPAPERS;SAS;NIT;tiene;2017;Soacha;Cundinamarca;638;0;0;1;2;0;0;0;0;0;0.33;0.65;claro;FALSE;0;0;384;0;2;Windows;MANUFACTURA;76;303
103;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;26/10/2021 10:08;REFERRER;SAS;NIT;no tiene;2015;Pereira;Risaralda;669;1;1;1;1;0;0;0;0;0;0.72;0.61;claro;FALSE;0;0;607;0;4;Windows;SERVICIOS;70;6
137;BUSINESS;CANCELED;CANCELED;2000000;FAMILY_AND_FRIENDS;29/10/2021 15:43;COMMUNICATION_MEDIA;SAS;NIT;no tiene;2020;Cali;Valle del cauca;678;0;0;1;1;0;0;0;0;0;0.65;0.58;claro;FALSE;0;0;745;0;2;Windows;SERVICIOS;12;212
115;BUSINESS;CANCELED;CANCELED;5000000;FAMILY_AND_FRIENDS;27/10/2021 15:42;INTERNET;SAS;NIT;tiene;2017;Bogotá;Bogotá;655;0;0;2;1;0;0;0;0;0;0.44;0.51;claro;FALSE;0;0;382;0;2;Windows;COMERCIO;14;16
135;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;28/10/2021 12:54;INTERNET_ADD;SAS;NIT;tiene;2018;Bogotá;Bogotá;599;1;1;3;2;0;0;0;0;0;0.35;0.43;claro;FALSE;0;0;476;0;2;Windows;MANUFACTURA;47;5
126;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 13:06;SOCIAL_NETWORKS;SAS;NIT;tiene;2018;Bogotá;Bogotá;637;1;1;2;3;0;0;0;0;0;0.28;0.54;claro;FALSE;0;0;338;0;1;Windows;COMERCIO;40;0
119;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;27/10/2021 18:10;GOOGLE_SEARCH;SAS;NIT;tiene;2007;Bogotá;Bogotá;593;0;0;1;3;0;0;0;0;0;0.57;0.45;claro;FALSE;0;0;365;0;1;Windows;SERVICIOS;14;63
120;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;10000000;FAMILY_AND_FRIENDS;27/10/2021 21:22;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;555;0;0;1;1;0;0;0;0;0;0.52;0.43;claro;FALSE;0;0;301;0;2;Windows;COMERCIO;51;229
132;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;28/10/2021 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2016;Medellín;Antioquia;715;1;1;2;3;0;0;0;0;0;0.42;0.62;claro;FALSE;0;0;546;0;1;Windows;SERVICIOS;65;11
150;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;29/10/2021 11:46;SOCIAL_NETWORKS;SAS;NIT;tiene;2018;Cota;Cundinamarca;602;0;0;3;1;0;0;0;0;0;0.53;0.66;claro;FALSE;0;0;266;0;2;Windows;COMERCIO;39;0
148;BUSINESS;ACTIVE;ACTIVE;9000000;FAMILY_AND_FRIENDS;27/10/2021 16:16;INTERNET;SAS;NIT;tiene;2016;Medellín;Antioquia;787;1;1;3;1;0;0;0;0;0;0.4;0.72;claro;FALSE;0;0;253;0;1;Windows;SERVICIOS;29;0
147;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;27/10/2021 14:08;INTERNET;SAS;NIT;tiene;2017;Bogotá;Bogotá;647;1;1;3;2;0;0;0;0;0;0.26;0.38;claro;FALSE;0;0;683;0;1;Windows;COMERCIO;58;0
118;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;27/10/2021 13:45;INTERNET;SAS;NIT;tiene;2018;Cali;Valle del cauca;722;0;0;3;3;0;0;0;0;0;0.49;0.6;claro;FALSE;0;0;406;0;2;Windows;MANUFACTURA;48;30
133;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;29/10/2021 12:05;COMMERCIAL_ALLY;SAS;NIT;tiene;2014;Bogotá;Bogotá;630;0;0;1;2;0;0;0;0;0;0.7;0.56;claro;FALSE;0;0;619;0;2;Windows;SERVICIOS;25;25
122;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;28/10/2021 8:46;SOCIAL_NETWORKS;OTHER;NIT;tiene;2006;Cota;Cundinamarca;758;0;0;2;3;0;0;0;0;0;0.54;0.56;claro;FALSE;0;0;602;0;1;Windows;MANUFACTURA;35;90
144;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;29/10/2021 14:32;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2020;Medellín;Antioquia;543;0;0;2;1;0;0;0;0;0;0.43;0.45;claro;FALSE;0;0;325;0;3;Windows;SERVICIOS;45;32
143;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;28/10/2021 12:21;INTERNET;SAS;NIT;tiene;2020;Bogotá;Bogotá;627;0;0;3;2;0;0;0;0;0;0.72;0.61;claro;FALSE;0;0;567;0;4;Windows;SERVICIOS;16;45
131;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 13:31;COMMERCIAL_ALLY;SAS;NIT;tiene;2013;Bogotá;Bogotá;736;1;1;2;2;0;0;0;0;0;0.67;0.59;claro;FALSE;0;0;478;0;3;Windows;SERVICIOS;44;1
145;BUSINESS;STOLEN;STOLEN;5000000;FAMILY_AND_FRIENDS;28/10/2021 18:23;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;778;1;1;2;1;0;0;0;0;0;0.56;0.62;claro;FALSE;0;0;462;0;1;Windows;SERVICIOS;22;13
125;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;28/10/2021 15:29;REFERRER;SAS;NIT;tiene;2012;Pereira;Risaralda;540;1;1;1;2;0;0;0;0;0;0.47;0.71;claro;FALSE;0;0;347;0;2;Windows;SERVICIOS;41;0
121;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;2000000;FAMILY_AND_FRIENDS;27/10/2021 17:01;INTERNET;SAS;NIT;tiene;2020;Cali;Valle del cauca;620;1;1;3;1;0;0;0;0;0;0.33;0.3;claro;FALSE;0;0;275;0;2;Windows;SERVICIOS;32;2
117;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;27/10/2021 15:51;COMMERCIAL_ALLY;SAS;NIT;tiene;2013;Bogotá;Bogotá;606;1;1;2;3;0;0;0;0;0;0.44;0.5;claro;FALSE;0;0;630;0;1;Windows;SERVICIOS;25;5
180;BUSINESS;CANCELED;CANCELED;5000000;FAMILY_AND_FRIENDS;29/10/2021 17:24;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Bogotá;Bogotá;781;0;0;3;1;0;0;0;0;0;0.38;0.71;claro;FALSE;0;0;694;0;4;Windows;SERVICIOS;68;52
190;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;27/10/2021 16:19;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;615;1;1;2;1;0;0;0;0;0;0.51;0.61;claro;FALSE;0;0;584;0;2;Windows;MANUFACTURA;30;6
116;BUSINESS;SECURITY_LOCKED;SECURITY_LOCKED;10000000;FAMILY_AND_FRIENDS;27/10/2021 13:08;INTERNET;SAS;NIT;tiene;2018;Manizales;Caldas;701;0;0;2;1;0;0;0;0;0;0.4;0.54;claro;FALSE;0;0;525;0;5;Windows;SERVICIOS;16;61
187;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 14:45;SOCIAL_NETWORKS;SAS;NIT;tiene;2006;Medellín;Antioquia;561;1;1;3;3;0;0;0;0;0;0.7;0.36;claro;FALSE;0;0;659;0;1;Windows;SERVICIOS;15;0
184;BUSINESS;ACTIVE;ACTIVE;2000000;FAMILY_AND_FRIENDS;29/10/2021 21:06;INTERNET;SAS;NIT;tiene;2016;Girón;Santander;569;0;0;1;2;0;0;0;0;0;0.41;0.28;claro;FALSE;0;0;657;0;3;Windows;SERVICIOS;39;82
178;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;28/10/2021 8:32;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2020;Bogotá;Bogotá;607;1;1;3;1;0;0;0;0;0;0.55;0.32;claro;FALSE;0;0;727;0;1;Windows;SERVICIOS;69;1
168;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;5000000;FAMILY_AND_FRIENDS;28/10/2021 14:15;COMMUNICATION_MEDIA;SAS;NIT;tiene;2016;Pereira;Risaralda;701;0;0;2;3;0;0;0;0;0;0.7;0.51;claro;FALSE;0;0;330;0;2;Windows;SERVICIOS;28;120
208;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;15/10/2021 16:09;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;791;0;0;2;2;0;0;0;0;0;0.54;0.28;claro;FALSE;0;0;529;0;1;Windows;SERVICIOS;76;101
145;BUSINESS;LOST;LOST;5000000;FAMILY_AND_FRIENDS;28/10/2021 18:23;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;719;1;1;3;3;0;0;0;0;0;0.43;0.63;claro;FALSE;0;0;738;0;1;Windows;SERVICIOS;80;13
134;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 23:18;INTERNET;SAS;NIT;tiene;2019;Cali;Valle del cauca;767;1;1;2;2;0;0;0;0;0;0.33;0.53;claro;FALSE;0;0;740;0;1;Windows;MANUFACTURA;59;15
113;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;27/10/2021 13:25;SOCIAL_NETWORKS;SAS;NIT;tiene;2010;Bucaramanga;Santander;573;1;1;2;3;0;0;0;0;0;0.72;0.53;claro;FALSE;0;0;396;0;1;Windows;SERVICIOS;21;0
109;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;27/10/2021 13:48;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;738;0;0;2;3;0;0;0;0;0;0.55;0.47;claro;FALSE;0;0;377;0;2;Windows;SERVICIOS;21;68
162;BUSINESS;FRAUDULENT;FRAUDULENT;5000000;FAMILY_AND_FRIENDS;28/10/2021 14:15;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Medellín;Antioquia;557;1;1;1;1;0;0;0;0;0;0.33;0.49;claro;FALSE;0;0;429;0;3;Windows;SERVICIOS;31;0
123;BUSINESS;PREVENTIVELY_LOCKED;PREVENTIVELY_LOCKED;5000000;FAMILY_AND_FRIENDS;25/10/2021 8:51;INTERNET;SAS;NIT;no tiene;2014;Bogotá;Bogotá;724;1;1;1;2;0;0;0;0;0;0.45;0.5;claro;FALSE;0;0;481;0;1;Windows;SERVICIOS;67;0
142;BUSINESS;CANCELED;CANCELED;5000000;FAMILY_AND_FRIENDS;27/10/2021 13:59;COMMERCIAL_ALLY;SAS;NIT;tiene;2021;Bogotá;Bogotá;805;0;0;3;3;0;0;0;0;0;0.49;0.36;claro;FALSE;0;0;480;0;1;Windows;SERVICIOS;23;334
162;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;28/10/2021 14:15;SOCIAL_NETWORKS;SAS;NIT;tiene;2020;Medellín;Antioquia;535;1;1;2;1;0;0;0;0;0;0.52;0.58;claro;FALSE;0;0;706;0;3;Windows;SERVICIOS;38;0
140;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;29/10/2021 16:53;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2019;Bogotá;Bogotá;730;1;1;1;2;0;0;0;0;0;0.37;0.39;claro;FALSE;0;0;316;0;2;Windows;SERVICIOS;43;5
225;BUSINESS;CANCELED;CANCELED;10000000;FAMILY_AND_FRIENDS;17/11/2021 18:39;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2011;La estrella;Antioquia;665;0;0;2;3;0;0;0;0;0;0.45;0.74;claro;FALSE;0;0;500;0;3;Windows;MANUFACTURA;77;303
165;BUSINESS;CANCELED;CANCELED;10000000;FAMILY_AND_FRIENDS;27/10/2021 13:35;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;801;0;0;2;3;0;0;0;0;0;0.5;0.29;claro;FALSE;0;0;282;0;1;Windows;MANUFACTURA;14;394
139;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;27/10/2021 13:34;INTERNET;SAS;NIT;tiene;2008;Bogotá;Bogotá;590;1;1;3;3;0;0;0;0;0;0.55;0.65;claro;FALSE;0;0;435;0;1;Windows;SERVICIOS;56;3
145;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;28/10/2021 18:23;SOCIAL_NETWORKS;SAS;NIT;tiene;2017;Bogotá;Bogotá;717;1;1;3;1;0;0;0;0;0;0.48;0.25;claro;FALSE;0;0;285;0;1;Windows;SERVICIOS;72;13
158;BUSINESS;ACTIVE;ACTIVE;30000000;FAMILY_AND_FRIENDS;27/10/2021 12:58;KNOW_SOMEONE_FROM_SEMPLI;SAS;NIT;tiene;2020;Medellín;Antioquia;593;0;0;2;3;0;0;0;0;0;0.51;0.57;claro;FALSE;0;0;573;0;2;Windows;SERVICIOS;70;21
138;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;29/10/2021 16:43;SOCIAL_NETWORKS;SAS;NIT;tiene;2019;Bogotá;Bogotá;706;1;1;3;2;0;0;0;0;0;0.58;0.7;claro;FALSE;0;0;262;0;1;Windows;MANUFACTURA;61;12
235;BUSINESS;ACTIVE;ACTIVE;30000000;CURRENT_CUSTOMER;18/11/2021 18:37;INTERNET;SAS;NIT;tiene;2016;Bogotá;Bogotá;647;1;0;1;7;0;43693;0;2;0;0.46;0.56;claro;FALSE;0;0;743;0;1;Windows;SERVICIOS;1;6
146;BUSINESS;CANCELED;CANCELED;10000000;FAMILY_AND_FRIENDS;2/11/2021 9:30;SOCIAL_NETWORKS;SAS;NIT;tiene;2016;Barranquilla;Atlántico;623;0;0;2;3;0;0;0;0;0;0.61;0.45;claro;FALSE;0;0;446;0;2;Windows;SERVICIOS;13;516
151;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;2/11/2021 12:47;SOCIAL_NETWORKS;SAS;NIT;no tiene;2020;Bogotá;Bogotá;592;0;0;3;2;0;0;0;0;0;0.61;0.3;claro;FALSE;0;0;710;0;2;Windows;COMERCIO;48;24
185;BUSINESS;CANCELED;CANCELED;20000000;CURRENT_CUSTOMER;8/11/2021 9:52;NEWSPAPERS;SAS;NIT;tiene;2003;Medellín;Antioquia;798;1;1;7;5;0;258440;0;16;0;0.59;0.42;claro;FALSE;0;0;280;0;2;Windows;SERVICIOS;37;0
170;BUSINESS;PENDING_ACTIVATION;ACTIVE;5000000;FAMILY_AND_FRIENDS;3/11/2021 20:19;SOCIAL_NETWORKS;SAS;NIT;tiene;2010;Bogotá;Bogotá;799;1;1;2;3;0;0;0;0;0;0.66;0.3;claro;FALSE;0;0;474;0;1;Windows;MANUFACTURA;35;0
157;BUSINESS;ACTIVE;ACTIVE;5000000;FAMILY_AND_FRIENDS;2/11/2021 10:42;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Barranquilla;Atlántico;765;1;1;1;1;0;0;0;0;0;0.42;0.47;claro;FALSE;0;0;525;0;2;Windows;SERVICIOS;11;5
175;BUSINESS;ACTIVE;ACTIVE;20000000;FAMILY_AND_FRIENDS;3/11/2021 16:01;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2008;Bogotá;Bogotá;721;1;1;3;1;0;0;0;0;0;0.56;0.52;claro;FALSE;0;0;481;0;1;Windows;SERVICIOS;32;0
156;BUSINESS;CANCELED;CANCELED;30000000;FAMILY_AND_FRIENDS;3/11/2021 5:52;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2020;Medellín;Antioquia;617;0;0;3;2;0;0;0;0;0;0.36;0.31;claro;FALSE;0;0;458;0;1;Windows;SERVICIOS;15;0
160;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;3/11/2021 10:09;COMMERCIAL_ALLY;SAS;NIT;tiene;2013;Bogotá;Bogotá;539;1;1;1;3;0;0;0;0;0;0.62;0.7;claro;FALSE;0;0;457;0;1;Windows;SERVICIOS;18;11
1958;BUSINESS;ACTIVE;ACTIVE;2000000;CROSS_SELLING;4/11/2022 8:10;COMMERCIAL_ALLY;SAS;NIT;no tiene;2020;Bogotá;Bogotá;749;0;0;3;3;0;0;0;0;0;0.72;0.48;claro;FALSE;0;0;286;0;2;Windows;SERVICIOS;26;31
188;BUSINESS;CANCELED;CANCELED;5000000;FAMILY_AND_FRIENDS;8/11/2021 18:01;INTERNET;SAS;NIT;no tiene;2014;Bogotá;Bogotá;670;0;0;1;3;0;0;0;0;0;0.67;0.75;claro;FALSE;0;0;421;0;2;Windows;SERVICIOS;33;484
186;BUSINESS;ACTIVE;ACTIVE;30000000;CURRENT_CUSTOMER;8/11/2021 10:16;FRIEND_OR_COLLEAGUE;SAS;NIT;tiene;2016;Medellín;Antioquia;625;1;0;3;1;0;343288;0;3;0;0.5;0.58;claro;FALSE;0;0;742;0;4;Windows;SERVICIOS;72;3
169;BUSINESS;ACTIVE;ACTIVE;10000000;FAMILY_AND_FRIENDS;3/11/2021 10:41;REFERRER;SAS;NIT;no tiene;2018;Medellín;Antioquia;644;1;1;2;3;0;0;0;0;0;0.72;0.3;claro;FALSE;0;0;679;0;2;Windows;MANUFACTURA;31;5
