id,contract_number,card_type,plastic_status,virtual_status,credit_limit,sempli_score,workflow_id,workflow_type,status,rejection_reason,created_at,acquisition_channel,company_type,business_dni_type,business_website,employees_range,business_foundation_year,economic_activity,city,department,bureau_type,bureau_mean_age,bureau_score,banked_type1,banked_type2,hard_credit_check,number_saving_accounts,number_saving_accounts_alert,bureau_debt,bureau_debt_default,number_current_loans,number_current_loans_default,max_vector_24m,current_vector,max_vector_3m,max_vector_6m,max_vector_12m,sherlock_anomaly,sherlock_distrust,sherlock_operator,sherlock_line_start_date,sherlock_line_state,sherlock_reactivate,sherlock_banked,sherlock_collection,sherlock_collection_perc,sherlock_collection_no_telcos_perc,emailage_ipaddress,emailage_ipcity,emailage_ipcountry,emailage_ipregion,emailage_eascore,credit_study_income,onboarding_income,dian_income,lc_judicial_proceedings_against,number_shareholders,tier,os,economic_activity_description,economic_activity_group,number_employees,mora_ultimos_6meses,moroso
78,66,PROFESSIONAL,ACTIVE,ACTIVE,5000,,198,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 12:58:28,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
63,34,PROFESSIONAL,ACTIVE,ACTIVE,10000,,174,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 14:52:21,FRIEND_OR_COLLEAGUE,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,4,0
76,50,BUSINESS,ACTIVE,ACTIVE,10000,,188,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-01 18:13:49,SOCIAL_NETWORKS,SAS,NIT,,,,,Bogotá D.C.,"Bogotá, d. c.",transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,0
113,71,BUSINESS,ACTIVE,ACTIVE,20000,,249,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-12 18:34:53,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,0,0
73,48,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,5000,,184,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-24 16:59:19,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
54,46,PROFESSIONAL,ACTIVE,ACTIVE,5000,,165,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:19:32,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,27,1
102,62,PROFESSIONAL,ACTIVE,ACTIVE,10000,,222,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 15:43:08,FRIEND_OR_COLLEAGUE,,CC,,,,,Itagüí,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
80,52,BUSINESS,ACTIVE,ACTIVE,20000,,199,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 13:49:59,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0
15,5,PROFESSIONAL,ACTIVE,ACTIVE,30000,,88,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 22:25:57,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
105,65,PROFESSIONAL,ACTIVE,ACTIVE,5000,,225,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-11 10:13:29,FRIEND_OR_COLLEAGUE,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
70,43,PROFESSIONAL,ACTIVE,ACTIVE,5000,,181,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-23 15:28:35,FRIEND_OR_COLLEAGUE,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0
106,68,BUSINESS,ACTIVE,ACTIVE,20000,,226,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-11 16:09:02,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Envigado,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,0,0
101,64,PROFESSIONAL,ACTIVE,ACTIVE,10000,,220,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 13:49:39,FRIEND_OR_COLLEAGUE,,CC,,,,,Itagüí,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
95,58,PROFESSIONAL,ACTIVE,ACTIVE,10000,,215,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-08 16:44:24,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
62,29,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,5000,,173,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 14:36:12,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
87,56,PROFESSIONAL,ACTIVE,ACTIVE,5000,,206,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 17:44:01,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
98,59,PROFESSIONAL,ACTIVE,ACTIVE,30000,,217,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 8:30:49,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
121,75,PROFESSIONAL,ACTIVE,ACTIVE,10000,,254,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-14 12:02:56,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
117,70,PROFESSIONAL,ACTIVE,ACTIVE,5000,,250,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-13 11:36:17,FRIEND_OR_COLLEAGUE,,CC,,,,,Envigado,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,5,0
107,73,PROFESSIONAL,ACTIVE,ACTIVE,5000,,228,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-11 23:05:01,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
103,67,PROFESSIONAL,ACTIVE,ACTIVE,30000,,223,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 17:18:07,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
338,223,BUSINESS,SECURITY_LOCKED,SECURITY_LOCKED,5000,,476,FAMILY_AND_FRIENDS,SUCCESS,,2021-11-17 16:20:03,INTERNET,SAS,NIT,www.dimetron.co,,2017,36,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Ingeniería,SERVICIOS,,0,0
82,53,PROFESSIONAL,ACTIVE,ACTIVE,10000,,202,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 14:46:57,FRIEND_OR_COLLEAGUE,,CC,,,,,Bello,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0
60,28,PROFESSIONAL,ACTIVE,ACTIVE,5000,,171,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 14:01:06,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,5,0
99,61,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,10000,,221,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 8:35:02,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
71,44,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,10000,,182,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-23 17:19:07,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
72,47,PROFESSIONAL,FRAUDULENT,FRAUDULENT,5000,,183,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-24 11:47:39,FRIEND_OR_COLLEAGUE,,CC,,,,,Bello,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,27,1
56,45,PROFESSIONAL,REPLACED,REPLACED,5000,,167,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:25:12,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
94,57,PROFESSIONAL,ACTIVE,ACTIVE,5000,,214,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-08 16:32:27,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
114,81,BUSINESS,ACTIVE,ACTIVE,30000,,266,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-13 10:13:42,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Medellín,Antioquia,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,13,0
118,79,BUSINESS,ACTIVE,ACTIVE,5000,,251,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-13 13:13:16,FRIEND_OR_COLLEAGUE,SAS,NIT,,,,,Bogotá D.C.,"Bogotá, d. c.",transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,0
110,78,PROFESSIONAL,ACTIVE,ACTIVE,5000,,246,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-12 16:20:31,FRIEND_OR_COLLEAGUE,,CC,,,,,Bello,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
122,76,PROFESSIONAL,ACTIVE,ACTIVE,30000,,257,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-14 12:26:50,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,8,0
120,82,PROFESSIONAL,ACTIVE,ACTIVE,10000,,253,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-14 6:37:32,FRIEND_OR_COLLEAGUE,,CC,,,,,Bello,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,0
85,104,PROFESSIONAL,PENDING_ACTIVATION,ACTIVE,5000,,205,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 17:33:28,FRIEND_OR_COLLEAGUE,,CC,,,,,Bogotá D.C.,"Bogotá, d. c.",experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
84,54,PROFESSIONAL,SECURITY_LOCKED,SECURITY_LOCKED,8600,,204,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 16:53:48,FRIEND_OR_COLLEAGUE,,CC,,,,,Bello,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,51,1
126,80,BUSINESS,ACTIVE,ACTIVE,5000,,259,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-14 18:51:59,SOCIAL_NETWORKS,LTDA,NIT,,,,,Soledad,Atlántico,transunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,1,0
97,60,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,10000,,218,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 8:30:13,FRIEND_OR_COLLEAGUE,,CC,,,,,Itagüí,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
93,86,PROFESSIONAL,ACTIVE,ACTIVE,5000,,213,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-07 22:50:16,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
67,40,PROFESSIONAL,ACTIVE,ACTIVE,10000,,178,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-23 10:46:48,INTERNET,,CC,,,,,Bello,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,0
99,61,PROFESSIONAL,ACTIVE,ACTIVE,10000,,221,FAMILY_AND_FRIENDS,SUCCESS,,2021-10-09 8:35:02,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0
8,1,PROFESSIONAL,ACTIVE,ACTIVE,30000,,81,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 19:35:18,SOCIAL_NETWORKS,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
10,3,PROFESSIONAL,ACTIVE,ACTIVE,30000,,83,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 21:36:26,INTERNET,,CC,,,,,Retiro,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
56,45,PROFESSIONAL,REPLACED,REPLACED,5000,,167,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:25:12,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
56,45,PROFESSIONAL,ACTIVE,ACTIVE,10000,,167,FAMILY_AND_FRIENDS,SUCCESS,,2021-09-22 10:25:12,FRIEND_OR_COLLEAGUE,,CC,,,,,Medellín,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
14,6,PROFESSIONAL,ACTIVE,ACTIVE,30000,,87,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-12 22:22:25,INTERNET,,CC,,,,,Caldas,Antioquia,experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
30,13,PROFESSIONAL,PREVENTIVELY_LOCKED,PREVENTIVELY_LOCKED,20000,,111,FAMILY_AND_FRIENDS,SUCCESS,,2021-07-26 10:12:05,FRIEND_OR_COLLEAGUE,,CC,,,,,Bogotá D.C.,"Bogotá, d. c.",experian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0
